ID,SMILES,AV_Bit,AV
coq_69,Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)OC\C=C(/C)CC\C=C(/C)CC\C=C(/C)C)c3C)OC,0,
coq_70,Oc2ccc(Cl)cc2Cc1ccccc1,0,
coq_71,[O-][N+](=O)c2oc(/C=N/N1CCOC1=O)cc2,0,
coq_72,Fc1ccc(cc1)C(=O)C4CCN(CCN2C(=O)c3ccccc3NC2=O)CC4,0,
coq_73,CSCC[C@H](N)C(O)=O,0,
coq_74,Oc1ccc(cc1)C(=C\C)/C(=C/C)c2ccc(O)cc2,0,
coq_75,[O-]C(=O)C1=C(C(=C(Cl)C(=C1Cl)Cl)Cl)C/2=C/3\C=C(I)/C(=O)/C(=C3OC4=C2C=C(I)C(=C4I)[O-])I,0,
coq_76,CN1CCN(CC1)c4c(F)cc2c3N(C=C(C2=O)C(=O)O)N(C)COc34,0,
coq_77,O=S(=O)(O)O.CC(C)(NC)Cc1ccccc1.CC(C)(NC)Cc1ccccc1,0,
coq_78,O=C(O)c1cccc(c1)c2nc(on2)c3ccccc3F,0,
coq_79,[O-][N+](=O)O.Clc3ccc(C(OCc1ccc(Cl)cc1)Cn2ccnc2)c(Cl)c3,0,
coq_80,NS(=O)(=O)c2cc(c(NCc1ccco1)cc2Cl)C(=O)O,0,
coq_81,OC(=O)[C@@H]1CCCN1,0,
coq_82,Oc2ccc(Cl)cc2Cc1cc(Cl)ccc1O,0,
coq_83,C/C=C/C1=C(/N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C2=O)C(O)=O,0,
coq_84,NC(=O)c2cn(Cc1c(F)cccc1F)nn2,0,
coq_85,CN(C)C(=O)COC(=O)C(C)c1cc2Cc3ccc(C)nc3Oc2cc1,0,
coq_86,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1,0,
coq_87,[Ca+2].O[C@H](CCn1c(c(c(c1C(C)C)C(=O)Nc2ccccc2)c3ccccc3)c4ccc(F)cc4)C[C@@H](O)CC([O-])=O.[O-]C(=O)C[C@H](O)C[C@H](O)CCn4c(c1ccc(F)cc1)c(c2ccccc2)c(C(=O)Nc3ccccc3)c4C(C)C,0,
coq_88,OCC(=O)[C@@]3(O)CC[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4C(=O)C[C@@]23C,0,
coq_89,O[C@@H]1CC(=O)[C@H](C/C=C\CCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,0,
coq_91,CCCc1cc2OCOc2cc1COCCOCCOCCCC,0,
coq_92,O=C(OCC)c2ccc(OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO)cc2,0,
coq_93,Cl.CNCC[C@H](Oc1cccc2ccccc12)c3cccs3,0,
coq_95,CC(=O)Oc1ccc(cc1)C(c2ccc(OC(C)=O)cc2)c3ccccn3,0,
coq_96,Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,0,
coq_97,[O-][N+](=O)O.Clc3ccc(C(SCc1ccc(Cl)cc1)Cn2ccnc2)c(Cl)c3,0,
coq_98,CC(C)(C)NCC(O)COc2ccccc2OCC1CCCO1,0,
coq_99,CC2=C[C@H]\3CC=1NC(=O)C=CC=1[C@@](N)(C2)C/3=C\C,0,
coq_100,Clc1ccc(cc1)C(=O)n3c2ccc(cc2c(CC(=O)OCC(=O)O)c3C)OC,0,
coq_102,S=C1N(C=CN1C)C(=O)OCC,0,
coq_103,COC1[C@H](O)CC(=O)O[C@H](C)C/C=C/C=C/C(O)[C@H](C)C[C@H](CC=O)C1OC2OCC(OC3CC(C)(O)C(O)C(C)O3)C(C2O)N(C)C,0,
coq_104,Oc3cc4CC[C@@H]1[C@H](CC[C@]2(C)C(=O)CC[C@@H]12)c4cc3,0,
coq_105,O=C1C=C[C@]2(C)CC[C@H]3[C@H](C)C(=O)O[C@@H]3C2=C1C,0,
coq_106,CCN(CCOc1ccc(cc1)C(c2ccccc2)=C(Cl)c3ccccc3)CC,0,
coq_107,CNC(=O)c1cn(nc1)c2nc(N)c3ncn(c3n2)[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O,0,
coq_108,O=C(OC)C1=C(C)NC(COC(N)=O)=C(C1c2cccc(Cl)c2Cl)C(=O)OC(C)C,0,
coq_109,O=[N+]([O-])c1ccc(/C=N/NC(N)=O)o1,0,
coq_110,CC(C)N1C(\C=C\[C@H](O)C[C@H](O)CC(O)=O)=C(C2=C1C=CC=C2)C3=CC=C(F)C=C3,0,
coq_111,CC=1NC(C)=C(C(C=1C(=O)OC)c2ccccc2[N+]([O-])=O)C(=O)OC,0,
coq_112,Clc2ccc(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)cc2,0,
coq_113,COC(=O)N(C)C1=C(N)N=C(N=C1N)C2=N[N](CC3=CC=CC=C3F)C4=NC=CC=C24,0,
coq_114,C[C@H]1CN(C[C@@H](C)O1)C2=NC=C(NC(=O)C3=C(C)C(=CC=C3)C4=CC=C(OC(F)(F)F)C=C4)C=C2,0,
coq_115,C[N+]1(C)C2CC[C@H]1CC(C2)OC(=O)C(O)C3=CC=CC=C3,0,
coq_116,[H][C@@](CCN(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC(C)=CC=C2O,0,
coq_117,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,0,
coq_119,CC1=NC=C[N]1CCC(C(N)=O)(C2=CC=CC=C2)C3=CC=CC=C3,0,
coq_120,CO[C@H]1\C=C/O[C@@]2(C)OC3=C(C)C(=C4C(=C(NC(=O)\C(=C/C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C)C5=C(N=C6C=C(C)C=C[N]56)C4=C3C2=O)O)O,0,
coq_121,COCC1=C(F)C(=C(COC(=O)C2C(\C=C\C)C2(C)C)C(=C1F)F)F,0,
coq_122,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@H]\1[C@H]2C3=CC4=C(OCO4)C=C3CCN5CCC[C@]25\C=C1OC,0,
coq_123,CCCC[C@H](C)C[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCC\C=C\C(O)=O,0,
coq_124,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)[C@H](C)C[C@]4(C)[C@H]3CC[C@]12C,0,
coq_125,O=C1C[C@@H]2OC\C=C/3C[N@]4CC[C@@]56[C@@H]4C[C@@H]3[C@@H]2[C@@H]5N1C7=C6C=CC=C7,0,
coq_126,C[N]1N=C(C)C2=C1N(C)C(=O)C\N=C2\C3=CC=CC=C3F,0,
coq_127,COC1=C(OC)C(=CC(=C1)\C=C/C(=O)N2CCN(CC2)CC(=O)N3CCCC3)OC,0,
coq_128,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@@H](CN)[C@@H](O)[C@H](O)[C@H]4N)[C@H]3O)[C@H](N)[C@@H](O)[C@@H]1O,0,
coq_129,OC(CN1CC[N+](C)(C)CC1)(c2ccccc2)C3CCCCC3.[O-]S(=O)(=O)OC,0,
coq_130,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C3=CC=CC=C3[NH]1,0,
coq_132,O[P](O)(=O)OC1C(O[P](O)(O)=O)C(O[P](O)(O)=O)C(O[P](O)(O)=O)C(O[P](O)(O)=O)C1O[P](O)(O)=O,0,
coq_133,O=C(O)C(C)c1cc2Cc3cccnc3Oc2cc1,0,
coq_134,CC(C)(C)NC(=O)[C@H]2CC[C@H]3[C@@H]4CC=C1C=C(CC[C@]1(C)[C@H]4CC[C@]23C)C(=O)O,0,
coq_135,OC(=O)[C@@H]1CCC[C@@H]2SCC[C@H](NC(=O)[C@@H](S)CC3=CC=CC=C3)C(=O)N12,0,
